date;home_team;away_team;home_goals;away_goals;home_xG;away_xG;home_xpts;away_xpts;year;match_index
22.11.2016 0:00;West Brom;Burnley;4;0;1.40512;0.571005;2.0702;0.6443;2016;2016-11-22_West Brom_vs_Burnley
15.12.2016 0:00;West Brom;Swansea;3;1;1.78268;1.07221;1.8987;0.8334;2016;2016-12-15_West Brom_vs_Swansea
29.04.2017 15:00;West Brom;Bournemouth;0;1;0.809101;1.53094;1.5058;1.2483;2016;2017-04-29_West Brom_vs_Bournemouth
15.04.2017 15:00;Sunderland;Leicester;2;2;1.14121;0.467725;1.0788;0.4573;2016;2017-04-15_Sunderland_vs_Leicester
15.12.2016 0:00;Crystal Palace;Man United;1;2;0.710324;1.27306;0.8220999999999999;1.8562;2016;2016-12-15_Crystal Palace_vs_Man United
04.01.2017 0:00;Crystal Palace;Swansea;1;2;0.331276;1.18905;0.5538000000000001;2.1603;2016;2017-01-04_Crystal Palace_vs_Swansea
01.10.2016 18:00;West Ham;West Brom;1;1;0.883385;0.88211;1.3475;1.02;2016;2016-10-01_West Ham_vs_West Brom
17.12.2016 19:00;West Ham;Watford;1;0;1.92151;1.07552;1.9965;1.2896;2016;2016-12-17_West Ham_vs_Watford
15.12.2016 0:00;Tottenham;Hull;3;0;2.83077;0.570636;2.8109;0.1180999999999999;2016;2016-12-15_Tottenham_vs_Hull
18.12.2016 20:00;Tottenham;Arsenal;2;1;1.50755;0.609893;1.5601;0.6143000000000001;2016;2016-12-18_Tottenham_vs_Arsenal
05.01.2017 0:00;Tottenham;Chelsea;2;0;1.00945;0.912754;1.4436;1.2249;2016;2017-01-05_Tottenham_vs_Chelsea
22.10.2016 18:00;Arsenal;Watford;0;0;0.711811;0.478578;0.6436999999999999;0.5900000000000001;2016;2016-10-22_Arsenal_vs_Watford
01.11.2016 0:00;Stoke;Swansea;3;1;2.16407;1.10058;2.1675;0.6138;2016;2016-11-01_Stoke_vs_Swansea
15.12.2016 0:00;Stoke;Southampton;0;0;0.333754;0.723114;0.8867;1.6892;2016;2016-12-15_Stoke_vs_Southampton
04.01.2017 0:00;Stoke;Watford;2;0;1.85359;0.510395;2.478;0.3495;2016;2017-01-04_Stoke_vs_Watford
05.11.2016 19:00;Man City;Stoke;1;1;2.49606;0.81046;2.817;1.6904;2016;2016-11-05_Man City_vs_Stoke
15.12.2016 0:00;Man City;Watford;2;0;1.62359;0.497462;2.2619;0.5047999999999999;2016;2016-12-15_Man City_vs_Watford
20.08.2016 18:00;Watford;Everton;1;2;0.804549;1.83897;0.5701;1.2924;2016;2016-08-20_Watford_vs_Everton
31.12.2016 0:00;Hull;Everton;2;2;0.852585;1.27757;1.0067;1.7003;2016;2016-12-31_Hull_vs_Everton
22.04.2017 15:00;Hull;Stoke;2;0;1.42309;1.69454;1.5979;2.4333;2016;2017-04-22_Hull_vs_Stoke
13.08.2016 18:00;Burnley;West Brom;0;1;1.04903;0.684593;0.7766;1.0403;2016;2016-08-13_Burnley_vs_West Brom
26.12.2016 19:00;Burnley;West Brom;1;0;0.275704;0.687502;0.8097000000000001;0.4832;2016;2016-12-26_Burnley_vs_West Brom
13.08.2016 18:00;Middlesbrough;Tottenham;1;1;1.80523;1.12348;2.5279;1.6417;2016;2016-08-13_Middlesbrough_vs_Tottenham
06.12.2016 0:00;Middlesbrough;Hull;1;0;1.94961;0.221339;2.6685;0.2004;2016;2016-12-06_Middlesbrough_vs_Hull
26.04.2017 19:45;Middlesbrough;Leicester;1;0;0.825839;0.595173;1.7328;1.475;2016;2017-04-26_Middlesbrough_vs_Leicester
12.08.2017 15:00;Everton;Bournemouth;1;0;0.720574;0.378659;1.7647;0.6263;2017;2017-08-12_Everton_vs_Bournemouth
20.01.2018 15:00;Everton;Bournemouth;1;1;0.92355;0.501886;0.9986;0.8241;2017;2018-01-20_Everton_vs_Bournemouth
05.05.2018 15:00;Bournemouth;Tottenham;1;0;1.69618;0.969481;1.9364;0.9994;2017;2018-05-05_Bournemouth_vs_Tottenham
04.11.2017 15:00;Southampton;Bournemouth;0;1;0.789259;1.28703;1.9682;1.882;2017;2017-11-04_Southampton_vs_Bournemouth
